english,bassa
"According to Exodus 23:9, how were God’s ancient people expected to treat foreigners, and why?","Inoñnaga ni kaat Manyodi 23:9, lelaa litén li Djob li kôba li bé lama tééda bakén, inyuki?"
What has Shebna’s experience taught you about God’s discipline?,Kii yom i bi pémél Sébna i niiga we inyu bikodlene Djob a nti bés?
And he has such tender love for all who “receive the Kingdom of God like a young child.” —Luke 18:17.,A gwé nlélém gwéha inyu ba bobasôna ba ‘nleege Ane Nyambe kiki mañge ntitigi.’ —Lukas 18:17.
TREASURES FROM GOD’S WORD | MARK 13-14,MASÔÔ MA NKUS MA BIBEL | MARKÔ 13-14
What does this prophecy teach us about God’s Kingdom?,Kii mbañ ini i niiga bés inyu Ane Djob?
"It is noteworthy that Ruth did not use only the impersonal title “God,” as many foreigners might; she also used God’s personal name, Jehovah.",Yimbe le Ruth a ngwélél bé ndigi i tel ini le “Djob” kiki ngandak bakén i bé boñ; ndi a ngwélél bañga jôl li Djob le Yéhôva.
God’s Word tells us to give the Kingdom first place in our lives.,Bañga i Djob i nkal bés le di yéñ Ane Djob kiki jam li bisu i niñ yés.
"In that new world, human society will be united in worship of the true God.","I mbok mondo i, bôt b’a ba maada i bégés Djob li maliga."
So Jesus tells his opposers: “Truly I say to you that the tax collectors and the prostitutes are going ahead of you into the Kingdom of God.”,Jon Yésu a nkal bakolba nye le: “Me nkal bé maliga le: Bakottas ni bôda ba libambe ba mbôk bé i bisu ikété Ane Nyambe.”
"You alone are God Almighty,","Le bôt bobasô ba yi le,"
Listen to God —How to Use It,Emble Djob —Lelaa di nlama gwélél yo
"What is the work that God directs his people to do today, and who are the ones doing it?","Umbe nson Djob a ñéga litén jé le li sal len ini, bonje ba nsal wo?"
The idea that God chooses beforehand which trials we will face implies that he must know everything about our future.,Mahoñol mana le Djob a mpohol i bisu bi ngéda mambe manoodana di ga boma ma nkobla le a nlama yi hiki jam inyu bilôl gwés.
"I must also declare the good news of the Kingdom of God to other cities, because for this I was sent. —Luke 4:43.",Me nlama añle yak minkoñ mimpe miñañ minlam mi Ane Nyambe; inyule jon me bi ôma. —Lukas 4:43.
"Just as a wise and loving father instructs his children, so God teaches people everywhere the best way to live.","Nlélém kikii isañ nu gwéha ni nu pék a niiga bon bé, hala nyen Djob a niiga bôt mbog yosôna lelaa ba niñ i nya i nlôôha loñge."
How did Abraham show that he trusted in God?,Lelaa Abraham a bi éba le a bé bôdôl Djob ñem?
God expects parents to instruct their children and to correct them,Isañ nu gwéha a nti lihaa jé mam ma minsôn ni ma mbuu
"Over time, people of this area developed a form of worship that incorporated some of the beliefs and practices set out in God’s Law, such as circumcision.","Kii ngéda i bé tagbe, ba bi bot ngim base i i bé noñ ngim mam i Mbén Djob kiki bo likwee."
"The man’s spirits plummeted, and again he asked God that he might die. —Jonah 4:6-8.","Yôna a ntémb a nok liyot ngandak, a témb a kal Djob le a nsômbôl wo. —Yôna 4:6-8."
"In most Bibles, God’s name has been removed and has been replaced with the titles LORD or GOD.","Ikété ngandak Bibel, ba bi héya jôl li Djob, ba héñha jo ni mangédi mé kii bo NWET tole DJOB."
"In God’s remembrance, We want our name to be",Di ngwés le môl més Ma tilba ’kaat ’mbigda.
TREASURES FROM GOD’S WORD | ISAIAH 29-33,MASÔÔ MA NKUS MA BIBEL | YÉSAYA 29-33
You may pray whenever your heart moves you to thank or praise God.,U nla soohe to mbe ngéda ñem woñ u ntinde we le u ti Djob mayéga tole u bégés nye.
Does God Listen to All Prayers?,Baa Djob a ñemble masoohe momasôna?
The fear of God they do not know.,Woñi u Djob u yé bo haa.
"By focusing on spiritual things, we gain peace with God and with ourselves now and the prospect of everlasting life in the future.","Ngéda niñ yés i yé nyonok ni mam ma mbuu, di yé di bana nsañ ni Djob ni bésbomede i len ini, di ban-ga ki botñem i niñ boga i dilo di nlo."
18 How accurate knowledge of God benefited Job.,18 Lelaa bañga yi i Djob i bi hôla Hiôb?
TREASURES FROM GOD’S WORD | PROVERBS 1-6,MASÔÔ MA NKUS MA BIBEL | BINGÉNGÉN 1-6
“They Stopped Doing God’s Will”: (10 min.),“Ba bi waa boñ sômbôl i Djob”: (10 man.)
"“This people honor me [God] with their lips, but their hearts are far removed from me.","“Bôt bana ba mbégés me [Djob] ni bibép gwap, ndi miñem nwap mi mal ke nonok ni me."
Which psalms show how God helps and comforts those who love him?,Dimbe tjémbi di ñunda lelaa Djob a nti bôt ba ngwés nye mahôla ni hogbe?
He advises us to peer into God’s perfect law and make adjustments accordingly.,"Yakôbô a nti bés maéba le di wan mbén Djob i i yôni, mbus di lona mahéñha i niñ yés."
Question: Does God have a name?,Mbadga: Baa Djob a gwé ngim jôl?
“I came from God and I am here.,"“Yak Nyambe nyen me nyodne, ndi me lo."
“I am your God.”,“Me yé Nyambe woñ.”
9 Another example is God’s view of stumbling others.,9 Hihéga hipe hi ñunda lelaa Yéhôva a ntehe i bôt ba nyéne bape ngok baagene.
"“YOU seem to be too clever to believe in God,” said a fellow student to a young sister in Britain.",ÑUDU wada a bi kal mankéé nu muda nu loñ Britania le: “Lelaa mañge pék kiki we a nhémle le Djob a yé.”
Those who practice such things will not inherit God’s Kingdom.” —Galatians 5:19-21.,Bôt ba yé ba mboñ ndôñ mam ini b’a kôdôl bé Ane Nyambe.” —Galatia 5:19-21.
God’s government will replace all the world’s governments.,Ane Djob i ga tjé biane bi nkoñ isi.
"3 Instead of participating in the politics of his day, Jesus focused on preaching about God’s Kingdom, the future heavenly government of which he was the prospective King.","3 Ilole a yoñ ngaba ni mam ma m’bô ha ngéda yé, Yésu a bi ti nyensôna inyu likalô li Ane Djob, hala wee énél ngii i i nlama lo, het nyemede Yésu a bé lama ba Kiñe."
"A rebel angel influences the first man and woman, Adam and Eve, to reject God’s rulership.",Mbuu mbe wada u bi tinde munlôm ni mudaa nu bisu i tjél énél i Djob.
You can have “an honest conscience” because you know you are pleasing the God you love. —Hebrews 13:18; Colossians 3:22-24.,U nla bana ‘loñge kiññem’ inyule u nyi le u nlémél Nyambe nu u ngwés. —Lôk Héber 13:18; Kôlôsé 3:22-24.
Jesus preaches about God’s Kingdom and offers up his life as a sacrifice.,"Yésu a añal inyu ane Djob, a ti yak niñ yé sesema."
"Even if no outright lie is told, what of God’s direction: “You must not deceive”?","To ibale a mpahal bé tembee ikeñi, lelaa hala a nla kiha ni bini biniigana bi Djob le: ‘Ni lôgna bañ’?"
Those who loyally meet God’s requirements receive a gracious invitation from Jehovah: They can be guests in his “tent” —welcomed to worship him and granted free access to him in prayer. —Psalm 15:1-5.,"Ba mba bakén i ‘ndap yé libadô.’ Hala a nkobla le a nleege bibégés gwap, a nti ki bo njel i soohe nye ngéda yosôna. —Tjémbi 15:1-5."
Job cried out to God for some type of relief —even death,Hiôb a bi lôndôl Djob inyu kôs to ndék sii hogbe—to nyemb
"Emphasize that even some non-Israelites, such as Rahab, Ruth, Jael, and the Gibeonites, decided to side with the Israelites because they knew that God was with them.","Unda ki le ibale ngim bôt, i i bé bé bon ba Israel kiki bo Rahab, Ruth, Yaél ni bôt ba Gibéôn, ba bi yoñ pes i bon ba Israel, hala a bé inyule ba bi tehe le Djob a bé ni litén jé."
"In a similar way, Christians should be repulsed by the thought of betraying their God, Jehovah, as well as their spouse by committing adultery —no matter what the incentive to sin might be.","Nlélém jam, mahoñol ma nlama bé to lo kristen i ñem i kénés Yéhôva Djob jé lôñni sobiina wé ni njel ndéñg —to i ba yaga kii i ntinde nye i ke ndéñg."
"When we make such sacrifices and serve God in a way that takes us out of our comfort zone, we prove ourselves faithful.","Ngéda di mboñ i nya bisesema, di gwélak Djob kayéle di pam i boñ mam ma nlémél bé bés i ngéda bisu, wee di ñunda le di tiñi ni nye."
